REF,ChangeKey,Unnamed: 0,Company Name,Location,Country,Space_Code,,Launch Date,Datum,Vehicle Type,Detail,Status Rocket, Rocket,Status Mission
3398,RVSN USSR25914,3398,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,Site,,12/12/1970,"Sat Dec 12, 1970 13:00 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 385,StatusRetired,,Success
3399,CNES25914,3399,CNES,"ELD, Guiana Space Centre, French Guiana, France",France,ELD,,12/12/1970,"Sat Dec 12, 1970 12:00 UTC",Diamant B ,Diamant B | P??ole,StatusRetired,,Success
3400,ASI25914,3400,ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",Kenya,SM,,12/12/1970,"Sat Dec 12, 1970 10:53 UTC",Scout B ,Scout B | Explorer 42,StatusRetired,,Success
3401,RVSN USSR25912,3401,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,Site,,12/10/1970,"Thu Dec 10, 1970 11:10 UTC",Voskhod ,Voskhod | Cosmos 384,StatusRetired,,Success
3402,RVSN USSR25905,3402,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,12/3/1970,"Thu Dec 03, 1970 13:55 UTC",Voskhod ,Voskhod | Cosmos 383,StatusRetired,,Success
3403,RVSN USSR25904,3403,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,12/2/1970,"Wed Dec 02, 1970 17:00 UTC",Proton K/Block D ,Proton K/Block D | Cosmos 382 (L1E),StatusRetired,,Success
3404,RVSN USSR25904,3404,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,Site,,12/2/1970,"Wed Dec 02, 1970 04:00 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 381,StatusRetired,,Success
3405,General Dynamics25902,3405,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",USA,SLC-36B,,11/30/1970,"Mon Nov 30, 1970 22:40 UTC",Atlas-SLV3C Centaur-D ,Atlas-SLV3C Centaur-D | OAO-B,StatusRetired,,Failure
3406,RVSN USSR25899,3406,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,11/27/1970,"Fri Nov 27, 1970 15:47 UTC",Molniya-M /Block L ,Molniya-M /Block L | Molniya-1 nâ€ Â­23,StatusRetired,,Success
3407,RVSN USSR25896,3407,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,11/24/1970,"Tue Nov 24, 1970 10:59 UTC",Cosmos-2I (63SM) ,Cosmos-2I (63SM) | Cosmos 380,StatusRetired,,Success
3408,RVSN USSR25896,3408,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,11/24/1970,"Tue Nov 24, 1970 05:15 UTC",Soyuz L ,Soyuz L | Cosmos 379 (T2K Lunar Lander),StatusRetired,,Success
