REF,ChangeKey,Unnamed: 0,Company Name,Location,Country,Space_Code,,Launch Date,Datum,Vehicle Type,Detail,Status Rocket, Rocket,Status Mission
656,ULA40963,656,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,2/24/2012,"Fri Feb 24, 2012 22:15 UTC",Atlas V 551 ,Atlas V 551 | MUOS-1,StatusActive,153,Success
657,ESA40952,657,ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",France,ELV-1,,2/13/2012,"Mon Feb 13, 2012 10:00 UTC",Vega ,"Vega | Lares, AlmaSat-1 & 7 cubesats",StatusActive,37,Success
658,ISA44230,658,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Iran,Imam,,2/3/2021,"Fri Feb 03, 2012 UTC",Safir-1B ,Safir-1B | Navid,StatusRetired,,Success
659,ULA40928,659,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",USA,SLC-37B,,1/20/2012,"Fri Jan 20, 2012 00:38 UTC","Delta IV Medium+ (5,4) ","Delta IV Medium+ (5,4) | WGS-4",StatusRetired,,Success
660,Arianespace40894,660,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",France,ELS,,12/17/2011,"Sat Dec 17, 2011 02:03 UTC",Soyuz ST-A/Fregat ,"Soyuz ST-A/Fregat | Pl??iades 1A, SSOT, Elisa",StatusActive,80,Success
661,MHI40889,661,MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,LA-Y1,,12/12/2011,"Mon Dec 12, 2011 01:21 UTC",H-IIA 202 ,H-IIA 202 | IGS-Radar 3,StatusActive,90,Success
662,ULA40873,662,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,11/26/2011,"Sat Nov 26, 2011 15:02 UTC",Atlas V 541 ,Atlas V 541 | Mars Science Laboratory,StatusActive,145,Success
663,Roscosmos40855,663,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,11/8/2011,"Tue Nov 08, 2011 20:16 UTC",Zenit-2 FG ,Zenit-2 FG | Fobos-Grunt & Yinghuo 1,StatusActive,,Success
664,CASC40847,664,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",China,Site,,10/31/2011,"Mon Oct 31, 2011 21:58 UTC",Long March 2F/G ,Long March 2F/G | Shenzhou 8,StatusActive,,Success
665,ULA40844,665,ULA,"SLC-2W, Vandenberg AFB, California, USA",USA,SLC-2W,,10/28/2011,"Fri Oct 28, 2011 09:48 UTC",Delta II 7920-10C ,Delta II 7920-10C | Suomi NPP / ELaNa III,StatusRetired,,Success
666,Arianespace40837,666,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",France,ELS,,10/21/2011,"Fri Oct 21, 2011 07:30 UTC",Soyuz ST-B/Fregat-MT ,Soyuz ST-B/Fregat-MT | Galileo IOV FM01-FM02,StatusActive,,Success
667,ISRO40828,667,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",India,First,,10/12/2011,"Wed Oct 12, 2011 05:31 UTC",PSLV-CA ,PSLV-CA | Megha-Tropiques & Rideshares,StatusActive,21,Success
668,Land Launch40821,668,Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,10/5/2011,"Wed Oct 05, 2011 21:00 UTC",Zenit-3 SLB ,Zenit-3 SLB | Intelsat 18,StatusActive,,Success
669,CASC40815,669,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",China,Site,,9/29/2011,"Thu Sep 29, 2011 21:16 UTC",Long March 2F/T ,Long March 2F/T | Tiangong-1,StatusActive,,Success
670,Northrop40813,670,Northrop,"LP-1, Pacific Spaceport Complex, Alaska, USA",USA,LP-1,,9/27/2011,"Tue Sep 27, 2011 15:49 UTC",Minotaur IV ,Minotaur IV | TacSat-4,StatusActive,46,Success
671,Sea Launch40810,671,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",Ocean,LP,,9/24/2011,"Sat Sep 24, 2011 20:17 UTC",Zenit-3 SL ,Zenit-3 SL | Atlantic Bird 7,StatusActive,,Success
672,MHI40809,672,MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,LA-Y1,,9/23/2011,"Fri Sep 23, 2011 04:36 UTC",H-IIA 202 ,H-IIA 202 | IGS-Optical 4,StatusActive,90,Success
673,Arianespace40807,673,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,9/21/2011,"Wed Sep 21, 2011 21:38 UTC",Ariane 5 ECA ,"Ariane 5 ECA | Arabsat-5C, SES-2",StatusActive,200,Success
674,MHI40797,674,MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,LA-Y1,,9/11/2011,"Sun Sep 11, 2011 11:17 UTC",H-IIA 202 ,H-IIA 202 | Michibiki 1,StatusActive,90,Success
675,ULA40796,675,ULA,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,SLC-17B,,9/10/2011,"Sat Sep 10, 2011 13:08 UTC",Delta II 7920H-10C ,Delta II 7920H-10C | GRAIL,StatusRetired,,Success
676,Kosmotras40772,676,Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia",Russia,Site,,8/17/2011,"Wed Aug 17, 2011 07:12 UTC",Dnepr ,Dnepr | Sich 2 & Others,StatusRetired,29,Success
677,Arianespace40761,677,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,8/6/2011,"Sat Aug 06, 2011 22:52 UTC",Ariane 5 ECA ,"Ariane 5 ECA | Astra 1N, BSAT-3C (JCSAT-110R)",StatusActive,200,Success
678,ULA40760,678,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,8/5/2011,"Fri Aug 05, 2011 16:25 UTC",Atlas V 551 ,Atlas V 551 | Juno,StatusActive,153,Success
679,Roscosmos40742,679,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,7/18/2011,"Mon Jul 18, 2011 02:31 UTC",Zenit-3 SLBF ,Zenit-3 SLBF | Spektr-R,StatusActive,,Success
680,ULA40740,680,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",USA,SLC-37B,,7/16/2011,"Sat Jul 16, 2011 06:41 UTC","Delta IV Medium+ (4,2) ","Delta IV Medium+ (4,2) | GPS IIF-2",StatusRetired,164,Success
681,ISRO40739,681,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",India,Second,,7/15/2011,"Fri Jul 15, 2011 11:18 UTC",PSLV-XL ,PSLV-XL | GSAT-12,StatusActive,31,Success
682,NASA40732,682,NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,7/8/2011,"Fri Jul 08, 2011 15:29 UTC",Space Shuttle Atlantis ,Space Shuttle Atlantis | STS-135,StatusRetired,450,Success
683,Northrop40724,683,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",USA,LP-0B,,6/30/2011,"Thu Jun 30, 2011 03:09 UTC",Minotaur I ,Minotaur I | ORS-1,StatusActive,40,Success
684,ISA44362,684,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Iran,Imam,,6/15/2021,"Wed Jun 15, 2011 UTC",Safir-1A ,Safir-1A | Rasad 1,StatusRetired,,Success
685,ULA40704,685,ULA,"SLC-2W, Vandenberg AFB, California, USA",USA,SLC-2W,,6/10/2011,"Fri Jun 10, 2011 14:20 UTC",Delta II 7320-10C ,Delta II 7320-10C | SAC-D,StatusRetired,,Success
686,Arianespace40683,686,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,5/20/2011,"Fri May 20, 2011 20:38 UTC",Ariane 5 ECA ,"Ariane 5 ECA | ST-2, GSAT-8",StatusActive,200,Success
687,NASA40679,687,NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,5/16/2011,"Mon May 16, 2011 12:56 UTC",Space Shuttle Endeavour ,Space Shuttle Endeavour | STS-134,StatusRetired,450,Success
688,ULA40670,688,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,5/7/2011,"Sat May 07, 2011 18:10 UTC",Atlas V 401 ,Atlas V 401 | SBIRS GEO-1,StatusActive,109,Success
689,Arianespace40655,689,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,4/22/2011,"Fri Apr 22, 2011 21:37 UTC",Ariane 5 ECA ,"Ariane 5 ECA | Yahsat 1A, Intelsat 28 (New Dawn)",StatusActive,200,Success
690,ISRO40653,690,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",India,First,,4/20/2011,"Wed Apr 20, 2011 04:42 UTC",PSLV-G ,PSLV-G | ResourceSat-2 & X-Sat & YouthSat,StatusRetired,25,Success
691,ULA40648,691,ULA,"SLC-3E, Vandenberg AFB, California, USA",USA,SLC-3E,,4/15/2011,"Fri Apr 15, 2011 04:24 UTC",Atlas V 411 ,Atlas V 411 | NROL-34,StatusActive,115,Success
692,ULA40613,692,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",USA,SLC-37B,,3/11/2011,"Fri Mar 11, 2011 22:38 UTC","Delta IV Medium+ (4,2) ","Delta IV Medium+ (4,2) | NROL-27",StatusRetired,164,Success
693,ULA40607,693,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,3/5/2011,"Sat Mar 05, 2011 22:46 UTC",Atlas V 501 ,Atlas V 501 | OTV-2,StatusActive,120,Success
694,Northrop40606,694,Northrop,"SLC-576E, Vandenberg AFB, California, USA",USA,SLC-576E,,3/4/2011,"Fri Mar 04, 2011 10:09 UTC",Minotaur C (Taurus) ,"Minotaur C (Taurus) | Glory, KySat-1, Hermes, and Explorer-1 [PRIME]",StatusActive,45,Failure
695,NASA40598,695,NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,2/24/2011,"Thu Feb 24, 2011 21:53 UTC",Space Shuttle Discovery ,Space Shuttle Discovery | STS-133,StatusRetired,450,Success
696,Arianespace40589,696,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,2/15/2011,"Tue Feb 15, 2011 22:13 UTC",Ariane 5 ES ,Ariane 5 ES | Johannes Kepler ATV,StatusRetired,,Success
697,Northrop40580,697,Northrop,"SLC-8, Vandenberg AFB, California, USA",USA,SLC-8,,2/6/2011,"Sun Feb 06, 2011 12:26 UTC",Minotaur I ,Minotaur I | NROL-66,StatusActive,40,Success
698,VKS RF40575,698,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,2/1/2011,"Tue Feb 01, 2011 14:00 UTC",Rokot/Briz KM ,Rokot/Briz KM | Cosmos 2470,StatusRetired,41.8,Partial Failure
699,MHI40565,699,MHI,"LA-Y2, Tanegashima Space Center, Japan",Japan,LA-Y2,,1/22/2011,"Sat Jan 22, 2011 05:37 UTC",H-IIB ,H-IIB | HTV-2,StatusRetired,112.5,Success
700,ULA40563,700,ULA,"SLC-6, Vandenberg AFB, California, USA",USA,SLC-6,,1/20/2011,"Thu Jan 20, 2011 21:10 UTC",Delta IV Heavy ,Delta IV Heavy | NROL-49,StatusActive,350,Success
701,Roscosmos40563,701,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,1/20/2011,"Thu Jan 20, 2011 12:29 UTC",Zenit-3 SLBF ,Zenit-3 SLBF | Elektro-L nâ€ Â­1,StatusActive,,Success
702,Arianespace40541,702,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,12/29/2010,"Wed Dec 29, 2010 21:27 UTC",Ariane 5 ECA ,"Ariane 5 ECA | Koreasat 6, Hispasat-1E",StatusActive,200,Success
703,ISRO40537,703,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",India,Second,,12/25/2010,"Sat Dec 25, 2010 10:34 UTC",GSLV Mk I ,GSLV Mk I | GSAT-5P,StatusRetired,47,Failure
704,SpaceX40520,704,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,12/8/2010,"Wed Dec 08, 2010 15:43 UTC",Falcon 9 v1.0 ,Falcon 9 v1.0 | COTS-1,StatusRetired,59.5,Success
705,Arianespace40508,705,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,11/26/2010,"Fri Nov 26, 2010 18:39 UTC",Ariane 5 ECA ,"Ariane 5 ECA | Intelsat 17, HYLAS-1",StatusActive,200,Success
706,ULA40503,706,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",USA,SLC-37B,,11/21/2010,"Sun Nov 21, 2010 22:58 UTC",Delta IV Heavy ,Delta IV Heavy | NROL-32,StatusActive,350,Success
707,Northrop40502,707,Northrop,"LP-1, Pacific Spaceport Complex, Alaska, USA",USA,LP-1,,11/20/2010,"Sat Nov 20, 2010 01:25 UTC",Minotaur IV ,Minotaur IV | STP-S26,StatusActive,46,Success
708,ULA40488,708,ULA,"SLC-2W, Vandenberg AFB, California, USA",USA,SLC-2W,,11/6/2010,"Sat Nov 06, 2010 02:20 UTC",Delta II 7420-10C ,Delta II 7420-10C | COSMO-4,StatusRetired,,Success
709,Arianespace40479,709,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,10/28/2010,"Thu Oct 28, 2010 23:51 UTC",Ariane 5 ECA ,"Ariane 5 ECA | Eutelsat W3B, BSAT-3B",StatusActive,200,Success
710,VKS RF40451,710,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,Site,,9/30/2010,"Thu Sep 30, 2010 17:01 UTC",Molniya-M /Block 2BL ,Molniya-M /Block 2BL | Cosmos 2469,StatusRetired,,Success
711,Northrop40447,711,Northrop,"SLC-8, Vandenberg AFB, California, USA",USA,SLC-8,,9/26/2010,"Sun Sep 26, 2010 04:41 UTC",Minotaur IV ,Minotaur IV | SBSS,StatusActive,46,Success
712,ULA40442,712,ULA,"SLC-3E, Vandenberg AFB, California, USA",USA,SLC-3E,,9/21/2010,"Tue Sep 21, 2010 04:03 UTC",Atlas V 501 ,Atlas V 501 | NROL-41,StatusActive,120,Success
713,VKS RF40429,713,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,9/8/2010,"Wed Sep 08, 2010 03:30 UTC",Rokot/Briz KM ,"Rokot/Briz KM | Cosmos 2467, 2468 and Goniets-M 12",StatusRetired,41.8,Success
714,ULA40404,714,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,8/14/2010,"Sat Aug 14, 2010 11:07 UTC",Atlas V 531 ,Atlas V 531 | AEHF-1,StatusActive,140,Success
715,Arianespace40394,715,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,8/4/2010,"Wed Aug 04, 2010 20:45 UTC",Ariane 5 ECA ,"Ariane 5 ECA | Nilesat-201, Rascom-QAF 1R",StatusActive,200,Success
716,ISRO40371,716,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",India,First,,7/12/2010,"Mon Jul 12, 2010 03:52 UTC",PSLV-CA ,PSLV-CA | Cartosat-2B & Rideshares,StatusActive,21,Success
717,Arianespace40355,717,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,6/26/2010,"Sat Jun 26, 2010 21:41 UTC",Ariane 5 ECA ,"Ariane 5 ECA | Arabsat-5A, COMS-1",StatusActive,200,Success
718,IAI44369,718,IAI,"Pad 1, Palmachim Airbase, Israel",Israel,Pad,,6/22/2021,"Tue Jun 22, 2010 UTC",Shavit-2 ,Shavit-2 | Ofek-9,StatusActive,,Success
719,Kosmotras40350,719,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,6/21/2010,"Mon Jun 21, 2010 02:14 UTC",Dnepr ,Dnepr | TanDEM-X,StatusRetired,29,Success
720,Kosmotras40344,720,Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia",Russia,Site,,6/15/2010,"Tue Jun 15, 2010 14:42 UTC",Dnepr ,Dnepr | Picard & Others,StatusRetired,29,Success
721,KARI40339,721,KARI,"LC-1, Naro Space Center, South Korea",Korea,LC-1,,6/10/2010,"Thu Jun 10, 2010 08:01 UTC",Naro-1 ,Naro-1 | STSAT-2B,StatusRetired,,Failure
722,SpaceX40333,722,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,6/4/2010,"Fri Jun 04, 2010 18:45 UTC",Falcon 9 v1.0 ,Falcon 9 v1.0 | Flight 1,StatusRetired,59.5,Success
723,Eurockot40331,723,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,6/2/2010,"Wed Jun 02, 2010 01:59 UTC",Rokot/Briz KM ,Rokot/Briz KM | SERVIS-2,StatusRetired,41.8,Success
724,ULA40326,724,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",USA,SLC-37B,,5/28/2010,"Fri May 28, 2010 03:00 UTC","Delta IV Medium+ (4,2) ","Delta IV Medium+ (4,2) | GPS IIF-1",StatusRetired,164,Success
725,Arianespace40319,725,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,5/21/2010,"Fri May 21, 2010 22:01 UTC",Ariane 5 ECA ,Ariane 5 ECA | Astra 3B  & COMSATBw-2,StatusActive,200,Success
726,NASA40312,726,NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,5/14/2010,"Fri May 14, 2010 18:20 UTC",Space Shuttle Atlantis ,Space Shuttle Atlantis | STS-132,StatusRetired,450,Success
727,MHI40308,727,MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,LA-Y1,,5/10/2010,"Mon May 10, 2010 21:58 UTC",H-IIA 202 ,"H-IIA 202 | Akatsuki, IKAROS & Others",StatusActive,90,Success
728,Roscosmos40296,728,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,4/28/2010,"Wed Apr 28, 2010 17:15 UTC",Soyuz U ,Soyuz U | Progress M-05M,StatusRetired,,Success
729,VKS RF40295,729,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,Site,,4/27/2010,"Tue Apr 27, 2010 01:05 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 2463,StatusRetired,,Success
730,ULA40290,730,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,4/22/2010,"Thu Apr 22, 2010 23:52 UTC",Atlas V 501 ,Atlas V 501 | OTV-1,StatusActive,120,Success
731,ISRO40283,731,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",India,Second,,4/15/2010,"Thu Apr 15, 2010 10:57 UTC",GSLV Mk II ,GSLV Mk II | GSAT-4,StatusActive,47,Failure
732,Kosmotras40276,732,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,4/8/2010,"Thu Apr 08, 2010 13:57 UTC",Dnepr ,Dnepr | CryoSat-2,StatusRetired,29,Success
733,NASA40273,733,NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,4/5/2010,"Mon Apr 05, 2010 10:21 UTC",Space Shuttle Discovery ,Space Shuttle Discovery | STS-131,StatusRetired,450,Success
734,Roscosmos40270,734,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,4/2/2010,"Fri Apr 02, 2010 04:04 UTC",Soyuz FG ,Soyuz FG | Soyuz TMA-18,StatusRetired,,Success
735,ULA40241,735,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",USA,SLC-37B,,3/4/2010,"Thu Mar 04, 2010 23:57 UTC","Delta IV Medium+ (4,2) ","Delta IV Medium+ (4,2) | GOES 15",StatusRetired,164,Success
736,ULA40220,736,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,2/11/2010,"Thu Feb 11, 2010 15:23 UTC",Atlas V 401 ,Atlas V 401 | SDO,StatusActive,109,Success
737,NASA40217,737,NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,2/8/2010,"Mon Feb 08, 2010 09:14 UTC",Space Shuttle Endeavour ,Space Shuttle Endeavour | STS-130,StatusRetired,450,Success
738,Roscosmos40212,738,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,2/3/2010,"Wed Feb 03, 2010 03:45 UTC",Soyuz U ,Soyuz U | Soyuz-U,StatusRetired,,Success
739,Arianespace40165,739,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,12/18/2009,"Fri Dec 18, 2009 16:26 UTC",Ariane 5 GS ,Ariane 5 GS | Helios 2B,StatusRetired,,Success
740,ULA40161,740,ULA,"SLC-2W, Vandenberg AFB, California, USA",USA,SLC-2W,,12/14/2009,"Mon Dec 14, 2009 14:09 UTC",Delta II 7320-10C ,Delta II 7320-10C | WISE,StatusRetired,,Success
741,ULA40153,741,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",USA,SLC-37B,,12/6/2009,"Sun Dec 06, 2009 01:47 UTC","Delta IV Medium+ (5,4) ","Delta IV Medium+ (5,4) | WGS-3",StatusRetired,,Success
742,Land Launch40147,742,Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,11/30/2009,"Mon Nov 30, 2009 21:00 UTC",Zenit-3 SLB ,Zenit-3 SLB | Intelsat 15,StatusActive,,Success
743,MHI40145,743,MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,LA-Y1,,11/28/2009,"Sat Nov 28, 2009 01:21 UTC",H-IIA 202 ,H-IIA 202 | IGS-Optical 3,StatusActive,90,Success
744,ULA40140,744,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,11/23/2009,"Mon Nov 23, 2009 06:55 UTC",Atlas V 431 ,Atlas V 431 | Intersat 14,StatusActive,130,Success
745,NASA40133,745,NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,11/16/2009,"Mon Nov 16, 2009 19:28 UTC",Space Shuttle Atlantis ,Space Shuttle Atlantis | STS-129,StatusRetired,450,Success
746,Eurockot40119,746,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,11/2/2009,"Mon Nov 02, 2009 01:50 UTC",Rokot/Briz KM ,Rokot/Briz KM | SMOS and Proba-2,StatusRetired,41.8,Success
747,Arianespace40115,747,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,10/29/2009,"Thu Oct 29, 2009 20:00 UTC",Ariane 5 ECA ,Ariane 5 ECA | NSS-12 & Thor-6,StatusActive,200,Success
748,NASA40114,748,NASA,"LC-39B, Kennedy Space Center, Florida, USA",USA,LC-39B,,10/28/2009,"Wed Oct 28, 2009 15:30 UTC",Ares 1-X ,Ares 1-X | Ares 1-X Test Flight,StatusRetired,450,Success
749,ULA40104,749,ULA,"SLC-3E, Vandenberg AFB, California, USA",USA,SLC-3E,,10/18/2009,"Sun Oct 18, 2009 16:12 UTC",Atlas V 401 ,Atlas V 401 | DMSP-5D3-F18,StatusActive,109,Success
750,ULA40094,750,ULA,"SLC-2W, Vandenberg AFB, California, USA",USA,SLC-2W,,10/8/2009,"Thu Oct 08, 2009 18:51 UTC",Delta II 7920-10C ,Delta II 7920-10C | WorldView-2,StatusRetired,,Success
751,Arianespace40087,751,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,10/1/2009,"Thu Oct 01, 2009 21:59 UTC",Ariane 5 ECA ,Ariane 5 ECA | Amazonas 2 & COMSATBw-1,StatusActive,200,Success
752,ULA40081,752,ULA,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,SLC-17B,,9/25/2009,"Fri Sep 25, 2009 12:20 UTC",Delta II 7920-10C ,Delta II 7920-10C | STSS Demo,StatusRetired,,Success
753,ISRO40079,753,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",India,First,,9/23/2009,"Wed Sep 23, 2009 06:21 UTC",PSLV-CA ,PSLV-CA | Oceansat-2 & Rideshares,StatusActive,21,Success
754,MHI40066,754,MHI,"LA-Y2, Tanegashima Space Center, Japan",Japan,LA-Y2,,9/10/2009,"Thu Sep 10, 2009 17:01 UTC",H-IIB ,H-IIB | HTV-1,StatusRetired,112.5,Success
755,ULA40064,755,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,9/8/2009,"Tue Sep 08, 2009 21:35 UTC",Atlas V 401 ,Atlas V 401 | PAN,StatusActive,109,Success
756,NASA40053,756,NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,8/28/2009,"Fri Aug 28, 2009 03:59 UTC",Space Shuttle Discovery ,Space Shuttle Discovery | STS-128,StatusRetired,450,Success
757,KARI40050,757,KARI,"LC-1, Naro Space Center, South Korea",Korea,LC-1,,8/25/2009,"Tue Aug 25, 2009 08:00 UTC",Naro-1 ,Naro-1 | STSAT-2A,StatusRetired,,Failure
758,Arianespace40046,758,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,8/21/2009,"Fri Aug 21, 2009 22:09 UTC",Ariane 5 ECA ,Ariane 5 ECA | JCSAT-12 & Optus D3,StatusActive,200,Success
759,ULA40042,759,ULA,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,SLC-17A,,8/17/2009,"Mon Aug 17, 2009 10:35 UTC",Delta II 7925 ,Delta II 7925 | GPS IIRM-8,StatusRetired,,Success
760,Kosmotras40023,760,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,7/29/2009,"Wed Jul 29, 2009 18:46 UTC",Dnepr ,Dnepr | DubaiSat 1 & Others,StatusRetired,29,Success
761,VKS RF40015,761,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,Site,,7/21/2009,"Tue Jul 21, 2009 03:57 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 2454,StatusRetired,,Success
762,NASA40009,762,NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,7/15/2009,"Wed Jul 15, 2009 22:03 UTC",Space Shuttle Endeavour ,Space Shuttle Endeavour | STS-127,StatusRetired,450,Success
763,SpaceX40008,763,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",USA,Omelek,,7/14/2009,"Tue Jul 14, 2009 03:35 UTC",Falcon 1 ,Falcon 1 | RazakSat,StatusRetired,7,Success
764,VKS RF40000,764,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,7/6/2009,"Mon Jul 06, 2009 01:26 UTC",Rokot/Briz KM ,Rokot/Briz KM | Cosmos 2451 to 2453,StatusRetired,41.8,Success
765,Arianespace39995,765,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,7/1/2009,"Wed Jul 01, 2009 19:52 UTC",Ariane 5 ECA ,Ariane 5 ECA | TerreStar-1,StatusActive,200,Success
766,ULA39991,766,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",USA,SLC-37B,,6/27/2009,"Sat Jun 27, 2009 22:51 UTC","Delta IV Medium+ (4,2) ","Delta IV Medium+ (4,2) | GOES-O",StatusRetired,164,Success
767,Land Launch39985,767,Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,6/21/2009,"Sun Jun 21, 2009 21:50 UTC",Zenit-3 SLB ,Zenit-3 SLB | MEASAT 3a,StatusActive,,Success
768,ULA39982,768,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,6/18/2009,"Thu Jun 18, 2009 17:32 UTC",Atlas V 421 ,Atlas V 421 | LRO/LCROSS,StatusActive,123,Success
